date,ticker,model_name,horizon,y_pred
2025-09-26,011780,safe_ens_mean,1,108048.55824722924
2025-09-26,011780,safe_ens_median,1,108048.55824722924
2025-09-26,011790,safe_dl_lstm_v1,1,102893.99981248328
2025-09-26,011790,safe_ens_mean,1,102893.99981248328
2025-09-26,011790,safe_ens_median,1,102893.99981248328
2025-09-26,012330,safe_dl_lstm_v1,1,303346.2774423474
2025-09-26,012330,safe_ens_mean,1,303346.2774423474
2025-09-26,012330,safe_ens_median,1,303346.2774423474
2025-09-26,012450,safe_dl_lstm_v1,1,1023184.8319239452
2025-09-26,012450,safe_ens_mean,1,1023184.8319239452
2025-09-26,012450,safe_ens_median,1,1023184.8319239452
2025-09-26,012630,safe_dl_lstm_v1,1,20738.18053264553
2025-09-26,012630,safe_ens_mean,1,20738.18053264553
2025-09-26,012630,safe_ens_median,1,20738.18053264553
2025-09-26,012750,safe_dl_lstm_v1,1,82384.77408638493
2025-09-26,012750,safe_ens_mean,1,82384.77408638493
2025-09-26,012750,safe_ens_median,1,82384.77408638493
2025-09-26,014680,safe_dl_lstm_v1,1,190462.34120088717
2025-09-26,014680,safe_ens_mean,1,190462.34120088714
2025-09-26,014680,safe_ens_median,1,190462.34120088717
2025-09-26,014820,safe_dl_lstm_v1,1,30330.395589358253
2025-09-26,014820,safe_ens_mean,1,30330.39558935825
2025-09-26,014820,safe_ens_median,1,30330.395589358253
2025-09-26,015760,safe_dl_lstm_v1,1,36521.476557257214
2025-09-26,015760,safe_ens_mean,1,36521.476557257214
2025-09-26,015760,safe_ens_median,1,36521.476557257214
2025-09-26,016360,safe_dl_lstm_v1,1,76042.12709612118
2025-09-26,016360,safe_ens_mean,1,76042.12709612118
2025-09-26,016360,safe_ens_median,1,76042.12709612118
2025-09-26,017670,safe_dl_lstm_v1,1,54868.745077185806
2025-09-26,017670,safe_ens_mean,1,54868.745077185806
2025-09-26,017670,safe_ens_median,1,54868.745077185806
2025-09-26,017800,safe_dl_lstm_v1,1,82085.45169891912
2025-09-26,017800,safe_ens_mean,1,82085.45169891912
2025-09-26,017800,safe_ens_median,1,82085.45169891912
2025-09-26,017960,safe_dl_lstm_v1,1,33286.832652234465
2025-09-26,017960,safe_ens_mean,1,33286.832652234465
2025-09-26,017960,safe_ens_median,1,33286.832652234465
2025-09-26,018260,safe_dl_lstm_v1,1,161517.25206476141
2025-09-26,018260,safe_ens_mean,1,161517.25206476141
2025-09-26,018260,safe_ens_median,1,161517.25206476141
2025-09-26,018880,safe_dl_lstm_v1,1,3239.3142966213372
2025-09-26,018880,safe_ens_mean,1,3239.314296621337
